county_cas_data,county,state,FIPS,GISJOIN
New York,New York,New York,36061,G3600610
Oconee,Oconee,Georgia,13219,G1302190
Bibb,Bibb,Georgia,13021,G1300210
Coahoma,Coahoma,Mississippi,28027,G2800270
Dickey,Dickey,North Dakota,38021,G3800210
Nelson,Nelson,North Dakota,38063,G3800630
Marshall,Marshall,South Dakota,46091,G4600910
Wayne,Wayne,Michigan,26163,G2601630
St Louis (city),St. Louis City,Missouri,29510,G2905100
Sangamon,Sangamon,Illinois,17167,G1701670
Scott,Scott,Iowa,19163,G1901630
Berkshire,Berkshire,Massachusetts,25003,G2500030
Garland,Garland,Arkansas,05051,G0500510
Maricopa,Maricopa,Arizona,04013,G0400130
Muhlenberg,Muhlenberg,Kentucky,21177,G2101770
Washington,Washington,Vermont,50023,G5000230
Kosciusko,Kosciusko,Indiana,18085,G1800850
Suffolk,Suffolk,Massachusetts,25025,G2500250
Muskogee,Muskogee,Oklahoma,40101,G4001010
Clinton,Clinton,Pennsylvania,42035,G4200350
Washington,Washington,Virginia,51191,G5101910
New Haven,New Haven,Connecticut,09009,G0900090
San Bernardino,San Bernardino,California,06071,G0600710
Jefferson,Jefferson,Alabama,01073,G0100730
Muscogee,Muscogee,Georgia,13215,G1302150
Duval,Duval,Florida,12031,G1200310
Saline,Saline,Arkansas,05125,G0501250
Rockland,Rockland,New York,36087,G3600870
Philadelphia,Philadelphia,Pennsylvania,42101,G4201010
Jefferson,Jefferson,Kentucky,21111,G2101110
Dallas,Dallas,Texas,48113,G4801130
Gregg,Gregg,Texas,48183,G4801830
Lake,Lake,Indiana,18089,G1800890
Kings,Kings,New York,36047,G3600470
Hennepin,Hennepin,Minnesota,27053,G2700530
Vigo,Vigo,Indiana,18167,G1801670
Bristol,Bristol,Massachusetts,25005,G2500050
Berkeley,Berkeley,West Virginia,54003,G5400030
El Paso,El Paso,Colorado,08041,G0800410
Alameda,Alameda,California,06001,G0600010
Chaves,Chaves,New Mexico,35005,G3500050
Mahoning,Mahoning,Ohio,39099,G3900990
Lehigh,Lehigh,Pennsylvania,42077,G4200770
Genesee,Genesee,Michigan,26049,G2600490
Richmond,Richmond,New York,36085,G3600850
Chemung,Chemung,New York,36015,G3600150
Hillsborough,Hillsborough,New Hampshire,33011,G3300110
Lawrence,Lawrence,Missouri,29109,G2901090
Los Angeles,Los Angeles,California,06037,G0600370
Grant,Grant,New Mexico,35017,G3500170
Tulare,Tulare,California,06107,G0601070
Bronx,Bronx,New York,36005,G3600050
Contra Costa,Contra Costa,California,06013,G0600130
Palo Pinto,Palo Pinto,Texas,48363,G4803630
Jackson,Jackson,Indiana,18071,G1800710
Essex,Essex,New Jersey,34013,G3400130
Logan,Logan,Arkansas,05083,G0500830
Clayton,Clayton,Georgia,13063,G1300630
San Luis Obispo,San Luis Obispo,California,06079,G0600790
Brazoria,Brazoria,Texas,48039,G4800390
Fulton,Fulton,New York,36035,G3600350
Lafayette,Lafayette,Wisconsin,55065,G5500650
Nassau,Nassau,New York,36059,G3600590
Steuben,Steuben,New York,36101,G3601010
Laurel,Laurel,Kentucky,21125,G2101250
Union,Union,South Carolina,45087,G4500870
Noxubee,Noxubee,Mississippi,28103,G2801030
Greenup,Greenup,Kentucky,21089,G2100890
Cullman,Cullman,Alabama,01043,G0100430
Mobile,Mobile,Alabama,01097,G0100970
Arkansas,Arkansas,Arkansas,05001,G0500010
Park,Park,Montana,30067,G3000670
Red River,Red River,Texas,48387,G4803870
Berks,Berks,Pennsylvania,42011,G4200110
Ionia,Ionia,Michigan,26067,G2600670
Milwaukee,Milwaukee,Wisconsin,55079,G5500790
Pettis,Pettis,Missouri,29159,G2901590
Cowlitz,Cowlitz,Washington,53015,G5300150
Davis,Davis,Utah,49011,G4900110
Clark,Clark,Ohio,39023,G3900230
Danville (city),Danville (ic),Virginia,51590,G5105900
Monroe,Monroe,Pennsylvania,42089,G4200890
Bucks,Bucks,Pennsylvania,42017,G4200170
Sherman,Sherman,Kansas,20181,G2001810
Tompkins,Tompkins,New York,36109,G3601090
Hudson,Hudson,New Jersey,34017,G3400170
Cuyahoga,Cuyahoga,Ohio,39035,G3900350
Nueces,Nueces,Texas,48355,G4803550
Tippecanoe,Tippecanoe,Indiana,18157,G1801570
Stephens,Stephens,Oklahoma,40137,G4001370
Stanton,Stanton,Nebraska,31167,G3101670
Guilford,Guilford,North Carolina,37081,G3700810
Toole,Toole,Montana,30101,G3001010
Pulaski,Pulaski,Arkansas,05119,G0501190
Houston,Houston,Alabama,01069,G0100690
Coffee,Coffee,Georgia,13069,G1300690
Washington,Washington,Pennsylvania,42125,G4201250
Schuylkill,Schuylkill,Pennsylvania,42107,G4201070
Harrison,Harrison,West Virginia,54033,G5400330
Newton,Newton,Texas,48351,G4803510
Allegan,Allegan,Michigan,26005,G2600050
Suwannee,Suwannee,Florida,12121,G1201210
Benton,Benton,Tennessee,47005,G4700050
Cook,Cook,Illinois,17031,G1700310
Jefferson,Jefferson,Arkansas,05069,G0500690
Oneida,Oneida,New York,36065,G3600650
Dade,Dade,Florida,12086,G1200250
Richmond,Richmond,Georgia,13245,G1302450
Forrest,Forrest,Mississippi,28035,G2800350
Tuscaloosa,Tuscaloosa,Alabama,01125,G0101250
Washington,Washington,Tennessee,47179,G4701790
Shelby,Shelby,Indiana,18145,G1801450
Gloucester,Gloucester,New Jersey,34015,G3400150
Norfolk,Norfolk,Massachusetts,25021,G2500210
Kern,Kern,California,06029,G0600290
Windsor,Windsor,Vermont,50027,G5000270
Madison,Madison,New York,36053,G3600530
St Clair,St. Clair,Illinois,17163,G1701630
Letcher,Letcher,Kentucky,21133,G2101330
Dallas,Dallas,Missouri,29059,G2900590
Westmoreland,Westmoreland,Pennsylvania,42129,G4201290
Maury,Maury,Tennessee,47119,G4701190
Raleigh,Raleigh,West Virginia,54081,G5400810
Alachua,Alachua,Florida,12001,G1200010
St Charles,St. Charles,Missouri,29183,G2901830
Ventura,Ventura,California,06111,G0601110
Albemarle,Albemarle,Virginia,51003,G5100030
Henrico,Henrico,Virginia,51087,G5100870
Guernsey,Guernsey,Ohio,39059,G3900590
Carlton,Carlton,Minnesota,27017,G2700170
Boone,Boone,West Virginia,54005,G5400050
Richland,Richland,South Carolina,45079,G4500790
Cabell,Cabell,West Virginia,54011,G5400110
Wayne,Wayne,West Virginia,54099,G5400990
Lincoln,Lincoln,West Virginia,54043,G5400430
Summers,Summers,West Virginia,54089,G5400890
Aiken,Aiken,South Carolina,45003,G4500030
Black Hawk,Black Hawk,Iowa,19013,G1900130
Lawrence,Lawrence,Arkansas,05075,G0500750
King,King,Washington,53033,G5300330
Douglas,Douglas,Nebraska,31055,G3100550
Walsh,Walsh,North Dakota,38099,G3800990
Du Page,Du Page,Illinois,17043,G1700430
Runnels,Runnels,Texas,48399,G4803990
Appanoose,Appanoose,Iowa,19007,G1900070
Worcester,Worcester,Massachusetts,25027,G2500270
Providence,Providence,Rhode Island,44007,G4400070
Westchester,Westchester,New York,36119,G3601190
Mccormick,Mccormick,South Carolina,45065,G4500650
Hancock,Hancock,Maine,23009,G2300090
Cameron,Cameron,Texas,48061,G4800610
Harris,Harris,Texas,48201,G4802010
El Paso,El Paso,Texas,48141,G4801410
Fresno,Fresno,California,06019,G0600190
Santa Barbara,Santa Barbara,California,06083,G0600830
Bexar,Bexar,Texas,48029,G4800290
San Francisco,San Francisco,California,06075,G0600750
St Clair,St. Clair,Michigan,26147,G2601470
Columbia,Columbia,New York,36021,G3600210
